datetime,state_code,country_code,lat,lon,city_name,station_id,rh,ts,max_wind_spd,wind_gust_spd,clouds,wind_spd,pres,snow,snow_depth,precip,wind_dir,max_temp,temp,min_temp,max_wind_dir
2018-02-12,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,82.3,1518393600,8.2,8.2,59,6.4,993.7,,,0.1,227,3.4,2.2,0.6,210.0
2018-02-13,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,91.3,1518480000,6.2,6.2,86,4.0,1012.3,,,0.0,213,2.0,0.8,-1.5,230.0
2018-02-14,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,87.9,1518566400,4.6,4.6,76,2.3,1015.6,,,0.0,133,4.3,-0.4,-4.2,130.0
2018-02-15,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,83.7,1518652800,12.4,12.4,59,9.8,1017.5,,,0.0,145,1.4,0.6,-0.2,140.0
2018-02-16,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,91.0,1518739200,8.2,8.2,83,5.9,1015.2,,,2.8,245,4.9,2.6,0.2,300.0
2018-02-17,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,86.4,1518825600,3.6,3.6,76,1.1,1019.0,,,0.0,248,3.0,1.1,-1.0,310.0
2018-02-18,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,74.7,1518912000,3.6,3.6,68,2.0,1021.0,,,0.0,193,4.2,2.0,0.7,220.0
2018-02-19,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,88.0,1518998400,4.6,4.6,100,3.3,1020.8,,,0.0,172,2.7,1.3,-1.1,210.0
2018-02-20,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,83.9,1519084800,4.1,4.1,35,2.7,1019.6,,,0.0,81,1.7,0.7,-0.3,90.0
2018-02-21,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,78.3,1519171200,2.6,2.6,46,1.2,1021.9,,,0.3,278,2.5,0.7,-0.4,320.0
2018-02-22,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,82.5,1519257600,3.6,3.6,63,1.8,1023.5,,,0.1,96,0.4,-1.5,-4.7,80.0
2018-02-23,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,78.8,1519344000,3.6,3.6,27,2.0,1024.0,,,0.0,219,0.7,-1.9,-5.6,30.0
2018-02-24,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,63.5,1519430400,3.1,3.1,54,2.2,1029.9,,,0.0,68,-1.0,-2.3,-3.9,60.0
2018-02-25,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,63.1,1519516800,4.1,4.1,95,2.9,1031.0,,,0.0,43,-2.0,-4.3,-6.6,40.0
2018-02-26,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,64.8,1519603200,5.1,5.1,23,3.8,1028.4,,,0.0,26,-1.6,-4.4,-6.9,30.0
2018-02-27,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,59.9,1519689600,5.7,5.7,76,4.8,1024.3,,,0.0,48,-4.6,-6.4,-8.7,60.0
2018-02-28,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,64.4,1519776000,5.7,5.7,49,4.9,1028.7,,,1.0,61,-5.2,-7.8,-9.9,60.0
2018-03-01,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,64.5,1519862400,5.7,5.7,40,4.1,1020.9,,,0.1,57,-2.5,-5.5,-7.7,40.0
2018-03-02,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,75.0,1519948800,7.2,7.2,75,5.1,1008.1,,,0.3,70,-1.6,-3.7,-5.2,40.0
2018-03-03,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,74.3,1520035200,5.1,5.1,70,4.1,1004.7,,,0.1,85,-0.9,-2.3,-3.4,80.0
2018-03-04,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,73.7,1520121600,5.7,5.7,92,4.6,1002.2,,,0.0,110,-1.5,-2.4,-3.0,140.0
2018-03-05,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,88.0,1520208000,7.2,7.2,52,5.3,994.2,,,1.5,120,0.3,-0.8,-1.7,110.0
2018-03-06,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,83.2,1520294400,3.6,3.6,65,2.0,992.4,,,0.9,99,6.1,0.9,-6.0,60.0
2018-03-07,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,89.4,1520380800,3.1,3.1,100,2.0,991.6,,,1.4,60,1.6,0.3,-0.5,90.0
2018-03-08,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,97.8,1520467200,4.6,4.6,99,3.1,997.2,,,2.1,233,1.6,0.5,-0.1,10.0
2018-03-09,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,95.5,1520553600,5.1,5.1,97,2.8,995.2,,,5.4,252,1.0,-0.5,-2.0,290.0
2018-03-10,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,88.0,1520640000,6.2,6.2,94,3.3,1006.8,,,0.1,83,1.0,-0.3,-1.1,90.0
2018-03-11,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,97.0,1520726400,5.1,5.1,100,3.6,1000.5,,,3.1,79,3.7,2.1,0.3,90.0
2018-03-12,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,99.3,1520812800,5.1,5.1,100,1.7,988.1,,,3.7,129,4.6,3.5,2.2,120.0
2018-03-13,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,99.1,1520899200,4.6,4.6,99,3.3,990.2,,,8.4,300,4.0,2.3,1.2,300.0
2018-03-14,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,92.8,1520985600,3.6,3.6,96,2.1,1006.0,,,0.0,185,1.9,1.1,0.3,120.0
2018-03-15,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,71.9,1521072000,11.3,11.3,84,7.9,1015.5,,,0.0,87,1.0,0.3,-0.4,90.0
2018-03-16,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,57.8,1521158400,10.8,10.8,63,7.9,1014.8,,,0.1,76,-0.7,-2.7,-4.9,90.0
2018-03-17,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,67.1,1521244800,10.8,10.8,38,9.5,1024.4,,,0.1,58,-1.6,-3.3,-5.0,80.0
2018-03-18,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,66.7,1521331200,8.2,8.2,24,5.3,1024.9,,,0.0,63,1.5,-1.8,-4.2,50.0
2018-03-19,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,68.7,1521417600,5.7,5.7,0,2.5,1011.3,,,0.0,253,3.5,-1.0,-6.7,240.0
2018-03-20,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,73.9,1521504000,8.8,8.8,66,6.0,1016.8,,,1.0,286,4.4,1.0,-1.1,360.0
2018-03-21,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,82.0,1521590400,6.7,6.7,3,4.1,1020.7,,,0.1,257,6.0,1.1,-5.0,260.0
2018-03-22,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,90.5,1521676800,4.1,4.1,99,2.0,1003.5,,,2.7,202,2.2,0.9,-0.1,210.0
